repository,degree_centrality,pagerank_score,hub_score,authority_score,id,stars,language,source_edge_count,target_edge_count,total_edge_count
facebookresearch/habitat-lab,0.31030609379387813,0.0005584428499771924,0.0008670594228336073,0.0008670594228336057,facebookresearch/habitat-lab,2959,python,622,483,1105
NannyML/nannyml,0.31536085369278294,0.0005567320056332304,0.0008913204023539884,0.0008913204023539879,NannyML/nannyml,2139,python,981,142,1123
HariSekhon/DevOps-Bash-tools,0.28278573434428533,0.0005566249933788281,0.00045667506249231116,0.0004566750624923118,HariSekhon/DevOps-Bash-tools,8246,shell,920,87,1007
StructuredLabs/preswald,0.3066554338668913,0.0005561287111735305,0.0007966129672320995,0.0007966129672320997,StructuredLabs/preswald,4286,python,892,200,1092
bytedance/deer-flow,0.31030609379387813,0.0005559704143091907,0.0008089121140218092,0.0008089121140218094,bytedance/deer-flow,64224,python,767,338,1105
NativeScript/NativeScript,0.2645324347093513,0.0005550950381610612,0.0003133250383965624,0.0003133250383965622,NativeScript/NativeScript,25501,typescript,811,131,942
alirezamika/autoscraper,0.31479921370401576,0.000554872731292638,0.0008976416650412374,0.0008976416650412365,alirezamika/autoscraper,7149,python,856,265,1121
gorgonia/gorgonia,0.3083403538331929,0.0005546143828364125,0.000743035697560772,0.0007430356975607705,gorgonia/gorgonia,5916,go,554,544,1098
featureform/featureform,0.3181690536366189,0.0005540446747182474,0.0009086436673433233,0.0009086436673433222,featureform/featureform,1973,go,636,497,1133
langchain-ai/langchain,0.3066554338668913,0.0005539703077788015,0.0007985856320200171,0.0007985856320200164,langchain-ai/langchain,135344,python,444,648,1092
superduper-io/superduper,0.31030609379387813,0.0005530852819593446,0.0008369556978740925,0.000836955697874092,superduper-io/superduper,5273,python,119,986,1105
langchain-ai/langgraph,0.30609379387812413,0.0005529402713592548,0.000797977476793804,0.0007979774767938034,langchain-ai/langgraph,30777,python,441,649,1090
meta-llama/llama-cookbook,0.3192923336141533,0.0005524270017841965,0.0009229933491296243,0.0009229933491296242,meta-llama/llama-cookbook,18309,jupyter notebook,398,739,1137
explosion/spaCy,0.31957315360853694,0.0005523406978895803,0.0009319814479723205,0.0009319814479723201,explosion/spaCy,33525,python,649,489,1138
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,0.31451839370963214,0.0005523091781491822,0.0008947455895290501,0.0008947455895290499,ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,33311,unknown,817,303,1120
domoticz/domoticz,0.2884021342319573,0.000552257631343912,0.0006798842652019958,0.000679884265201996,domoticz/domoticz,3741,c++,615,412,1027
